date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg
02/27/2023,ORCL,87.96,6748861.0,-0.007895,,87.36,88.97,0.003073,0.0,0.0,0.0,0.0,0.21282901565233867,-0.0016433017594473798
03/09/2023,ORCL,86.87,10572293.0,-0.018307,,86.53,89.64,-0.018459,0.0,0.0,0.0,0.0,0.10833286841710406,0.11114656542028699
03/10/2023,ORCL,84.07,16029345.0,-0.032232,,82.88,85.25,-0.014478,-0.9999935626983644,0.0,-0.6499958157539368,-0.6499998450279235,-0.32651249517997105,-0.02878736108541489
03/24/2023,ORCL,88.01,5852248.0,0.00262,,87.51,88.48,0.00564,0.9999891519546508,0.0,0.649992948770523,0.1859309126933415,0.2786412871546215,-0.06628156446275257
03/31/2023,ORCL,92.92,10476333.0,0.026627,,90.41,93.0,0.014437,0.0,0.0,0.0,0.649992948770523,0.2786412871546215,0.026574980644952673
05/17/2023,ORCL,99.77,9436009.0,0.015471,,98.43,100.4,0.011891,0.0,0.6647837162017822,0.2326743006706237,0.0,0.07755810022354123,0.21895347152437483
05/18/2023,ORCL,102.34,10005725.0,0.025759,,99.73,102.46,0.009445,0.0,0.9262149930000304,0.3241752475500106,0.1076565757393837,0.22150204132000598,0.18778658913714544
05/22/2023,ORCL,101.77,5890481.0,-0.010405,,101.73,103.1,0.000155,0.0,0.0,0.0,0.3241752475500106,0.14394394109646477,0.09492944628000256
05/25/2023,ORCL,104.29,16729608.0,0.06072,,98.77,104.66,0.008758,0.0,0.9090595841407776,0.3181708544492721,0.0,0.1060569514830907,0.14038242548704144
05/30/2023,ORCL,105.15,10296707.0,0.010281,,104.19,105.98,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.04545297920703888
06/08/2023,ORCL,107.48,9529126.0,0.021188,,105.35,107.785,0.006189,0.0,0.0,0.0,0.0,0.0,0.0
06/12/2023,ORCL,116.43,39532005.0,0.0599,,114.34,117.51,0.009321,0.5,0.0,0.325,0.0,0.17896307905515033,0.07669846245220728
06/16/2023,ORCL,125.46,19514667.0,-0.008613,,125.15,127.4,-0.003672,0.0,0.0,0.0,0.1444617614150047,0.04815392047166823,0.21563739448785782
06/20/2023,ORCL,122.04,16280340.0,-0.02726,,121.96,125.25,-0.004735,0.0,0.0,0.0,0.0,0.0,0.07635168020214353
06/23/2023,ORCL,118.64,19734336.0,-0.016089,,118.14,119.9,-0.007659,0.0,0.0,0.0,0.0,0.0,0.020637394487857813
06/28/2023,ORCL,116.53,9240450.0,-0.011117,,116.39,118.62,-0.000354,0.914661943912506,0.0,0.5945302635431289,0.0,0.1981767545143763,0.08493289479187556
07/07/2023,ORCL,114.61,7001618.0,-0.007276,,114.49,115.98,-0.002865,0.0,0.0,0.0,0.6499986827373505,0.41484298209349313,0.1777898494686399
07/14/2023,ORCL,119.27,7723843.0,0.015496,,117.68,119.97,-0.001024,0.971870332956314,0.0,0.6317157164216042,0.0,0.21057190547386806,0.26803495181458337
07/17/2023,ORCL,118.89,6736825.0,-0.003186,,118.2533,119.97,0.003855,0.0,0.2898102104663849,0.1014335736632347,0.6317157164216042,0.2443830966949463,0.2825254623379026
07/18/2023,ORCL,120.77,8906658.0,0.015813,,117.81,121.29,0.007117,0.0,0.969257652759552,0.3392401784658432,0.1014335736632347,0.35746315618356067,0.24605545018400465
07/21/2023,ORCL,117.65,9159643.0,0.015274,,116.21,119.27,0.000324,0.0,0.908352792263031,0.3179234772920608,0.3392401784658432,0.2528657431403796,0.19861613512039183
08/03/2023,ORCL,114.55,5215848.0,-0.010025,,114.26,116.17,-0.002548,0.0,0.0,0.0,0.0,-0.06514722704887389,0.09197905361652373
