date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg,year,tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov,sentiment_verdict,final_verdict
2022-03-10,ORCL,76.65,13812596.0,0.007227,,75.03,76.85,-0.004292,-0.9999997615814208,0.0,-0.6499998450279235,0.3204581752419472,-0.1098472232619921,0.0640691840222903,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Sell,Leaning Sell
2022-06-13,ORCL,64.05,16547246.0,-0.046023,,63.76,66.1,-0.038768,1.0,0.0,0.65,0.325,0.325,0.1695556053093501,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Buy,Leaning Buy
2022-06-16,ORCL,68.71,10685987.0,-0.014204,,67.58,68.96,-0.032512,0.0,0.4127478897571563,0.1444617614150047,0.0,0.1781539204716682,0.2156373944878578,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Buy,Leaning Buy
2022-07-27,ORCL,75.87,6677226.0,0.024855,,74.32,76.12,0.026156,0.0,0.5203754305839539,0.1821314007043838,0.0,0.1666849593321482,0.2246349066495895,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Buy,Leaning Buy
2022-09-12,ORCL,77.08,15628850.0,0.015413,,76.27,77.3771,0.010584,-0.4974640011787414,0.0,-0.3233516007661819,0.0,-0.1077838669220606,0.0192049699170248,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Sell,Leaning Sell
2022-12-12,ORCL,81.28,15807550.0,0.017781,,79.935,81.41,0.014279,0.5,0.0,0.325,0.1624985665082931,0.162499522169431,0.0806786677667072,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Buy,Leaning Buy
2022-12-19,ORCL,80.5,7738813.0,0.011561,,79.68,81.1,-0.009007,0.0,0.4719240665435791,0.1651734232902526,0.0,0.0728194549679755,-0.0142362494553838,2022,ORCL,2022-05-31,0.6468318450424051,0.3362831858407079,0.9754768392370572,0.6280931586608443,0.7511864406779661,0.6150202976995941,0.3633288227334235,0.603185595567867,0.8430311231393776,0.9884745762711864,0.3642384105960264,Buy,Leaning Buy
2023-03-10,ORCL,84.07,16029345.0,-0.032232,,82.88,85.25,-0.014478,-0.9999935626983644,0.0,-0.6499958157539368,-0.6499998450279235,-0.326512495179971,-0.0287873610854148,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Sell,Leaning Sell
2023-03-24,ORCL,88.01,5852248.0,0.00262,,87.51,88.48,0.00564,0.9999891519546508,0.0,0.649992948770523,0.1859309126933415,0.2786412871546215,-0.0662815644627525,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Buy,Leaning Buy
2023-05-17,ORCL,99.77,9436009.0,0.015471,,98.43,100.4,0.011891,0.0,0.6647837162017822,0.2326743006706237,0.0,0.0775581002235412,0.2189534715243748,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Buy,Leaning Buy
2023-05-18,ORCL,102.34,10005725.0,0.025759,,99.73,102.46,0.009445,0.0,0.9262149930000304,0.3241752475500106,0.1076565757393837,0.2215020413200059,0.1877865891371454,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Buy,Leaning Buy
2023-05-25,ORCL,104.29,16729608.0,0.06072,,98.77,104.66,0.008758,0.0,0.9090595841407776,0.3181708544492721,0.0,0.1060569514830907,0.1403824254870414,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Buy,Leaning Buy
2023-06-12,ORCL,116.43,39532005.0,0.0599,,114.34,117.51,0.009321,0.5,0.0,0.325,0.0,0.1789630790551503,0.0766984624522072,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Buy,Leaning Buy
2023-06-28,ORCL,116.53,9240450.0,-0.011117,,116.39,118.62,-0.000354,0.914661943912506,0.0,0.5945302635431289,0.0,0.1981767545143763,0.0849328947918755,2023,ORCL,2023-05-31,0.398812599031482,0.2518720217835262,0.0020435967302452,0.3609898107714702,0.5233898305084745,0.6589986468200271,0.3450608930987821,0.6475069252077562,0.945872801082544,0.0,0.2523914643119941,Buy,Leaning Buy
