tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov
AEP,2021-12-31,0.4432330949196818,0.5997277059223962,0.6859673024523161,0.648471615720524,0.16,0.571041948579161,0.18064952638700948,0.5145429362880887,0.7151556156968877,0.20813559322033903,0.14863870493009565
AEP,2022-12-31,0.4403825534352138,0.5194009530292716,0.6777929155313351,0.6659388646288209,0.16677966101694916,0.4709066305818674,0.20162381596752368,0.5055401662049861,0.8606224627875507,0.20203389830508478,0.13318616629874908
AEP,2023-12-31,0.43473741669628224,0.5718175629680055,0.7513623978201635,0.6768558951965066,0.1430508474576271,0.4668470906630582,0.18403247631935046,0.42728531855955676,0.851150202976996,0.18372881355932202,0.09124356144223694
AXP,2021-12-31,0.5898321604507245,0.6371681415929203,0.2929155313351499,0.36317321688500726,0.7084745762711865,0.696211096075778,0.22259810554803788,0.8597645429362881,0.9350473612990527,0.2874576271186441,0.8955114054451803
AXP,2022-12-31,0.5528722725393952,0.6800544588155207,0.3698910081743869,0.3733624454148472,0.6277966101694915,0.5297699594046008,0.2307171853856563,0.8597645429362881,0.9709066305818674,0.20949152542372884,0.6769683590875644
AXP,2023-12-31,0.5177176919394123,0.6296800544588155,0.34128065395095364,0.393740902474527,0.671864406779661,0.4972936400541272,0.2408660351826793,0.8597645429362881,0.9580514208389715,0.21966101694915252,0.36497424576894777
AFL,2021-12-31,0.671857327112949,0.8454731109598366,0.8753405994550408,0.7918486171761281,0.36,0.7456021650879567,0.12855209742895804,0.8597645429362881,0.5967523680649527,0.7654237288135594,0.7498160412067697
AFL,2022-12-31,0.5654598343029992,0.8019060585432267,0.6893732970027249,0.5378457059679767,0.376271186440678,0.7889039242219216,0.13396481732070364,0.8597645429362881,0.0723951285520974,0.7010169491525424,0.6931567328918322
AFL,2023-12-31,0.6071841580927041,0.8093941456773315,0.646457765667575,0.7248908296943232,0.535593220338983,0.8382949932341002,0.13599458728010824,0.8597645429362881,0.03518267929634644,0.6996610169491526,0.7866077998528329
AIG,2021-12-31,0.5953207898152155,0.911504424778761,0.9291553133514986,0.962882096069869,0.3911864406779661,0.6847090663058186,0.09133964817320704,0.8597645429362881,0.016238159675236785,0.5979661016949153,0.5084621044885945
AIG,2022-12-31,0.6006541800525403,0.9169503063308373,0.8664850136239782,,0.792542372881356,0.6907983761840325,0.10757780784844384,0.8597645429362881,0.007442489851150258,0.48,0.6843267108167771
AIG,2023-12-31,0.5301168621877008,0.7311095983662355,0.9039509536784741,,0.21694915254237288,0.2895805142083897,0.09066305818673884,0.8597645429362881,0.8193504736129905,0.5749152542372882,0.2847682119205298
AME,2021-12-31,0.4515719659671606,0.24098025867937367,0.3276566757493188,0.24890829694323147,0.4942372881355932,0.6792963464140731,0.4506089309878214,0.3109418282548476,0.35588633288227334,0.6949152542372881,0.7122884473877852
AME,2022-12-31,0.46890471946812157,0.36283185840707965,0.38692098092643057,0.3493449781659389,0.5430508474576271,0.706359945872801,0.4776725304465494,0.24376731301939059,0.1677943166441137,0.7213559322033898,0.7299484915378955
AME,2023-12-31,0.5016212652090526,0.3349217154526889,0.3801089918256131,0.31804949053857345,0.5586440677966101,0.7286874154262517,0.4174560216508796,0.23337950138504154,0.5108254397834913,0.768135593220339,0.7660044150110376
AMGN,2021-12-31,0.4585694975811928,0.5064669843430906,0.07152588555858308,0.6746724890829694,0.7491525423728813,0.7801082543978349,0.40324763193504737,0.036011080332409975,0.8700947225981055,0.03525423728813559,0.45916114790286977
AMGN,2022-12-31,0.45006404576675757,0.5091899251191286,0.03133514986376018,0.6419213973799127,0.7776271186440677,0.8159675236806495,0.37889039242219213,0.03185595567867036,0.8660351826792964,0.012203389830508504,0.43561442236938924
AMGN,2023-12-31,0.3628724914744076,0.4805990469707284,0.053133514986375974,0.5167394468704513,0.4922033898305085,0.7983761840324763,0.2692828146143437,0.025623268698060944,0.7584573748308525,0.013559322033898313,0.22075055187637968
ADI,2022-10-31,0.5409968725997539,0.3771272974812798,0.6873297002724796,0.6411935953420669,0.2725423728813559,0.7828146143437077,0.2273342354533153,0.12396121883656509,0.7543978349120433,0.7905084745762712,0.7527593818984547
ADI,2023-10-31,0.5401608668908653,0.4533696392103471,0.638283378746594,0.6033478893740902,0.29694915254237286,0.8457374830852503,0.2368064952638701,0.10318559556786704,0.7320703653585927,0.7979661016949152,0.6938925680647535
AAPL,2022-09-30,0.6164129030028805,0.4914908100748808,0.027929155313351495,0.38355167394468703,0.9905084745762712,0.8240866035182679,0.8369418132611637,0.6537396121883656,0.9891745602165088,0.09694915254237291,0.869757174392936
AAPL,2023-09-30,0.5859693852232045,0.36078965282505104,0.028610354223433276,0.25473071324599705,0.9871186440677966,0.8234100135317998,0.8207036535859269,0.6378116343490304,0.9702300405953992,0.14847457627118643,0.8278145695364238
AAPL,2024-09-30,0.5296060688983548,0.1953710006807352,0.017711171662125325,0.1746724890829694,0.9911864406779661,0.8031123139377537,0.8146143437077131,0.6260387811634349,0.9905277401894452,0.15322033898305087,
AMAT,2022-10-31,0.6021410419520908,0.7814840027229408,0.26702997275204354,0.802037845705968,0.9383050847457627,0.8227334235453315,0.7794316644113667,0.13781163434903046,0.04059539918809196,0.6013559322033899,0.8506254598969831
AMAT,2023-10-31,0.6406454925608653,0.6412525527569775,0.2465940054495913,0.5960698689956332,0.8983050847457628,0.8315290933694182,0.7381596752368065,0.15096952908587258,0.767253044654939,0.6908474576271186,0.8454746136865342
ARW,2021-12-31,0.5741829981636299,0.8522804628999319,0.7404632152588556,0.6841339155749636,0.6847457627118644,0.13396481732070364,0.952638700947226,0.45221606648199447,0.05142083897158323,0.6020338983050848,0.5879323031640913
ARW,2022-12-31,0.5997416862983216,0.9176310415248469,0.8807901907356949,0.8296943231441047,0.7538983050847458,0.15764546684709066,0.9499323410013532,0.4051246537396122,0.035859269282814576,0.5186440677966102,0.5481972038263428
ARW,2023-12-31,0.5538688077123887,0.876786929884275,0.8787465940054496,0.7168850072780204,0.6359322033898305,0.12110960757780785,0.9384303112313938,0.3829639889196676,0.09472259810554806,0.6488135593220339,0.24429727740986018
ADSK,2022-01-31,0.3687171628500876,0.03131381892443841,0.017029972752043543,0.03056768558951961,0.7166101694915255,0.4512855209742896,0.4925575101488498,0.8597645429362881,0.6650879566982408,0.05423728813559325,
ADSK,2023-01-31,0.42632909366811794,0.09053778080326758,0.02997275204359673,0.10043668122270744,0.8244067796610169,0.631935047361299,0.5074424898511503,0.8597645429362881,0.7043301759133964,0.08813559322033904,
ADSK,2024-01-31,0.42034871299475407,0.08441116405718174,0.043596730245231585,0.09097525473071322,0.8122033898305084,0.6339648173207036,0.5372124492557511,0.8597645429362881,0.503382949932341,0.2176271186440678,
ADP,2022-06-30,0.4965417503152917,0.314499659632403,0.0463215258855586,0.29039301310043664,0.9722033898305085,0.6806495263870095,0.2435723951285521,0.8597645429362881,0.3470906630581867,0.3220338983050848,0.8888888888888888
ADP,2023-06-30,0.5387086000170408,0.38325391422736554,0.05040871934604907,0.3828238719068413,0.9830508474576272,0.7090663058186739,0.32070365358592695,0.8597645429362881,0.6156968876860622,0.35457627118644064,0.7277409860191317
